epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.796,1.58307,3.14952,1.3494,0.88192,0.01875,0.11028,0.06026,1.7848,3.50352,1.29118,0.0003,0.0003,0.0003
2,246.314,1.5769,2.18063,1.29325,0.84277,0.03125,0.09915,0.04434,1.86086,3.47053,1.4208,0.000460906,0.000460906,0.000460906
3,356.561,1.52237,2.01778,1.32449,0.7269,0.10786,0.17248,0.08862,1.88316,3.06133,1.42788,0.000467125,0.000467125,0.000467125
4,458.765,1.49088,1.9436,1.31903,0.53711,0.1979,0.25366,0.11891,1.7902,2.65043,1.35257,0.000318656,0.000318656,0.000318656
